open,high,low,close,volume
15.07,15,14.63,14.75,8407500.0
14.89,15,14.26,14.46,8882000.0
14.45,14,14.1,14.27,8126000.0
14.3,14,14.25,14.66,10259500.0
14.94,14,13.16,13.99,31879900.0
13.93,14,13.93,14.5,15628000.0
14.33,14,14.08,14.26,11354400.0
14.17,14,13.15,13.33,14725200.0
13.62,13,12.9,13.37,11922100.0
13.57,13,13.21,13.57,6071400.0
13.6,13,13.0,13.02,7186400.0
13.14,13,12.7,13.26,9419000.0
13.28,13,13.18,13.41,7390500.0
13.49,13,13.39,13.43,6143600.0
13.37,13,13.32,13.61,7376800.0
13.5,14,13.47,13.9,8174800.0
14.01,14,13.71,14.05,7676100.0
14.52,14,14.25,14.57,13243200.0
14.7,14,14.5,14.82,9125300.0
14.99,15,14.84,14.92,10593700.0
14.85,15,14.71,15.13,6961800.0
15.14,15,14.95,15.5,8999100.0
15.54,16,15.48,15.91,11380000.0
15.98,16,15.93,16.25,8383300.0
16.45,16,15.88,15.98,17667700.0
15.8,16,15.71,16.29,6514100.0
16.48,16,16.41,16.78,11805300.0
17.13,17,16.87,17.23,10819800.0
17.21,17,16.87,17.0,10740800.0
17.1,17,16.77,16.86,8545200.0
16.92,17,16.35,16.6,8400000.0
16.67,16,16.5,16.51,6898500.0
16.48,16,16.33,16.65,5537100.0
17.0,17,16.82,16.97,8324100.0
17.02,17,16.54,16.67,5222300.0
16.48,16,15.71,15.74,14595600.0
15.82,15,15.13,15.53,14658300.0
15.12,15,15.12,15.69,5520300.0
15.17,15,15.03,15.72,5252300.0
15.82,15,15.53,15.84,3780700.0
16.07,16,15.67,15.7,4420200.0
15.74,15,15.7,15.78,3650600.0
15.77,16,15.75,16.19,5062200.0
16.11,16,15.95,16.14,3751800.0
16.2,16,15.47,15.59,6243400.0
15.96,16,15.81,16.37,10458200.0
16.17,16,15.9,16.52,6581900.0
16.54,16,15.95,16.1,7633300.0
16.1,16,15.85,16.02,5762600.0
15.99,16,15.5,15.52,9227100.0
15.33,16,15.33,16.3,12302300.0
16.26,16,16.0,16.45,6114400.0
16.55,16,16.19,16.22,5548800.0
16.38,16,16.16,16.59,7272100.0
16.7,16,16.56,16.81,5436400.0
16.8,17,16.57,16.9,3640700.0
16.91,17,16.6,16.6,4943600.0
16.72,16,16.6,16.94,4888900.0
17.02,17,16.89,17.02,6451900.0
17.05,17,16.91,17.0,3930700.0
17.15,17,16.95,16.98,3157000.0
17.01,17,16.99,17.34,6706200.0
17.53,17,17.34,17.38,6424000.0
17.61,17,17.41,17.76,4248200.0
17.74,17,17.57,17.72,4250900.0
17.82,18,17.8,18.1,5989700.0
18.37,18,18.31,18.81,8951500.0
18.96,19,18.88,19.12,6679300.0
19.38,19,18.75,19.01,7540000.0
19.05,19,18.39,18.59,6055000.0
18.55,18,17.65,17.95,10018700.0
18.06,18,17.71,17.93,8662000.0
17.48,18,17.44,18.19,7482400.0
18.11,18,17.89,18.21,4277800.0
18.44,18,18.05,18.12,4561900.0
18.06,18,17.65,17.83,4216200.0
17.92,18,17.66,17.67,4126600.0
17.66,17,17.55,17.57,3831500.0
17.54,17,17.4,17.73,5776800.0
17.78,18,17.56,17.65,4543800.0
17.15,17,16.85,16.95,11852000.0
16.92,17,15.93,16.64,12738600.0
